codigo;nome;categoria;Energia (kcal);Carboidrato disponível (g);Proteína (g);Lipídios (g);Fibra alimentar (g);Ácidos graxos saturados (g);Ácidos graxos trans (g);Sódio (mg);Açúcar de adição (g);Alfa-tocoferol (Vitamina E) (mg);Carboidrato total (g);Cinzas (g);Cobre (mg);Colesterol (g);Colesterol (mg);Cálcio (mg);Energia (kJ);Equivalente de folato (mcg);Ferro (mg);Fósforo (mg);Magnésio (mg);Niacina (mg);Potássio (mg);Riboflavina (mg);Sal de adição (g);Selênio (mcg);Tiamina (mg);Umidade (g);Vitamina A (RAE) (mcg);Vitamina A (RE) (mcg);Vitamina B12 (mcg);Vitamina B6 (mg);Vitamina C (mg);Vitamina D (mcg);Zinco (mg);Ácidos graxos monoinsaturados (g);Ácidos graxos poliinsaturados (g);Álcool (g)
C0001B;Abóbora, s/ casca, s/ sementes, crua, Curcubita spp.,;Vegetais e derivados;22.00;3.01;1.05;0.18;2.02;0.04;0.00;0.19;0.00;1.91;5.03;0.54;0.05;;0.00;9.64;92.00;12.90;0.22;19.20;5.54;0.00;225.00;0.00;0.00;1.10;0.00;93.20;355.00;710.00;0.00;0.07;4.58;0.00;0.14;0.03;0.02;0.00
C0007B;Acelga, crua,;Vegetais e derivados;23.00;3.51;1.44;0.11;1.12;0.02;0.00;1.18;0.00;1.00;4.63;0.63;0.10;;0.00;43.00;97.00;7.42;0.27;40.00;10.40;0.00;239.00;0.00;0.00;0.84;0.04;93.20;162.00;324.00;0.00;0.16;22.50;0.00;0.31;0.02;0.04;0.00
C0004C;Acerola, madura, polpa, Malpighia spp.,;Frutas e derivados;30.00;5.13;0.71;0.38;1.75;0.09;0.00;0.67;0.00;;6.89;0.34;0.05;;0.00;36.80;128.00;13.60;0.00;21.40;10.90;0.69;138.00;0.07;0.00;0.58;0.00;91.70;103.00;207.00;0.00;0.00;1505.00;0.00;0.11;0.10;0.11;0.00
C0008B;Agrião, cru, Nasturtium officinale,;Vegetais e derivados;23.00;0.59;3.17;0.45;1.98;0.12;0.00;10.70;0.00;4.50;2.58;0.98;0.14;;0.00;129.00;96.00;13.30;2.00;60.10;24.10;1.42;244.00;0.27;0.00;0.20;0.13;92.80;224.00;449.00;0.00;0.11;71.40;0.00;0.76;0.04;0.16;0.00
C0065B;Aipo (salsão), cru, Apium graveolens L.,;Vegetais e derivados;19.00;3.32;0.76;0.07;0.96;0.02;0.00;9.52;0.00;0.11;4.27;1.07;0.31;;0.00;65.20;79.00;48.60;0.72;28.00;8.86;0.00;273.00;0.00;0.00;0.54;0.00;93.80;456.00;913.00;0.00;0.18;5.88;0.00;0.14;0.01;0.03;0.00
C1117B;Alcachofra, crua, Cynara cardunculus var. scolymus,;Vegetais e derivados;46.00;5.15;3.27;0.15;5.40;0.04;0.00;94.00;0.00;0.19;10.60;1.13;0.23;0.00;;44.00;192.00;68.00;1.28;90.00;60.00;1.05;370.00;0.07;0.00;0.20;0.07;84.90;1.00;2.00;0.00;0.12;11.70;0.00;0.49;0.01;0.06;0.00
C0703B;Alcaparra, conserva, drenada, Capparis spinosa,;Vegetais e derivados;37.00;4.89;2.36;0.86;0.00;0.23;0.00;2348.00;;0.88;4.89;8.04;0.37;;0.00;40.00;155.00;23.00;1.67;10.00;33.00;0.65;40.00;0.14;;1.20;0.02;83.90;7.00;;0.00;0.02;4.30;0.00;0.32;0.06;0.30;0.00
C0824B;Alecrim, seco, Rosmarinus officinalis,;Vegetais e derivados;328.00;21.50;4.88;15.20;42.60;7.37;0.00;50.00;0.00;;64.10;6.53;0.55;;0.00;1280.00;1352.00;307.00;29.30;70.00;220.00;1.00;955.00;0.43;0.00;4.60;0.51;9.31;156.00;;0.00;1.74;61.20;0.00;3.23;3.01;2.34;0.00
C0063B;Alface, americana, crua, Lactuca sativa L.,;Vegetais e derivados;6.00;0.26;0.41;0.11;1.24;0.02;0.00;5.93;0.00;0.13;1.50;0.28;0.02;;0.00;11.70;25.00;13.30;0.22;15.70;4.65;0.00;110.00;0.00;0.00;0.20;0.02;97.70;158.00;317.00;0.00;0.03;8.89;0.00;0.18;0.00;0.06;0.00
C0060B;Alface, crespa, crua, Lactuca sativa L.,;Vegetais e derivados;10.00;0.00;1.35;0.16;1.83;0.02;0.00;3.38;0.00;0.23;1.70;0.70;0.03;;0.00;38.00;43.00;29.60;0.40;25.80;11.00;1.09;267.00;0.12;0.00;0.20;0.11;96.10;164.00;329.00;0.00;0.00;15.60;0.00;0.25;0.00;0.09;0.00
C0009B;Alface, crua, Lactuca sativa L.,;Vegetais e derivados;9.00;0.00;1.08;0.12;1.87;0.02;0.00;4.20;0.00;0.18;1.79;0.56;0.03;;0.00;37.50;37.00;26.90;0.75;26.00;12.70;0.92;311.00;0.10;0.00;0.20;0.10;96.40;182.00;364.00;0.00;0.04;18.50;0.00;0.29;0.00;0.08;0.00
C0061B;Alface, lisa, crua, Lactuca sativa L.,;Vegetais e derivados;13.00;0.10;1.69;0.12;2.33;0.02;0.00;4.23;0.00;0.18;2.43;0.76;0.03;;0.00;27.50;54.00;37.80;0.61;26.10;9.11;0.75;348.00;0.08;0.00;0.20;0.09;95.00;190.00;380.00;0.00;0.07;21.40;0.00;0.35;0.00;0.07;0.00
C0062B;Alface, roxa, crua, Lactuca sativa L.,;Vegetais e derivados;11.00;0.48;0.91;0.19;2.01;0.01;0.00;7.12;0.00;0.13;2.49;0.68;0.04;;0.00;33.80;47.00;35.30;2.48;51.10;9.31;0.00;308.00;0.00;0.00;0.20;0.00;95.70;155.00;311.00;0.00;0.00;13.50;0.00;0.23;0.00;0.06;0.00
C0067B;Alfavaca, crua, Ocimum basilicum L.,;Vegetais e derivados;28.00;1.10;2.66;0.48;4.14;0.16;0.00;4.55;0.00;0.60;5.24;1.42;0.15;;0.00;258.00;115.00;83.90;1.26;49.70;84.20;0.00;260.00;0.12;0.00;0.37;0.00;90.20;518.00;1037.00;0.00;0.56;0.00;0.00;0.71;0.00;0.32;0.00
C1061B;Alga, ágar ágar, em pó,;Vegetais e derivados;336.00;73.20;6.21;0.30;7.70;0.06;0.00;102.00;0.00;5.00;80.90;3.93;0.61;;0.00;625.00;1422.00;0.00;21.40;52.00;770.00;0.20;1125.00;0.22;0.00;7.40;0.01;8.68;0.00;0.00;0.00;0.30;0.00;0.00;5.80;0.03;0.10;0.00
C0222K;Algodão, doce,;Açúcares e doces;402.00;99.70;0.00;0.32;0.00;0.00;0.00;1.00;;0.00;99.70;0.00;0.01;0.00;;1.00;1706.00;0.00;0.05;0.00;0.00;0.00;2.00;0.02;;0.60;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.00;0.00
C0010B;Alho, cru, Allium sativum L.,;Vegetais e derivados;121.00;22.60;5.70;0.20;3.19;0.04;0.00;5.43;0.00;0.98;25.80;1.28;0.15;;0.00;13.70;514.00;2.38;0.81;150.00;21.50;0.00;541.00;0.00;0.00;2.24;0.19;67.10;0.00;0.00;0.00;0.45;24.80;0.00;0.83;0.00;0.10;0.00
C1074B;Alho, em pó, Allium sativum L.,;Vegetais e derivados;346.00;63.70;16.60;0.73;9.00;0.25;0.00;60.00;0.00;0.67;72.70;3.54;0.53;;0.00;79.00;1464.00;47.00;5.65;414.00;77.00;0.80;1193.00;0.14;0.00;23.90;0.44;6.45;0.00;0.00;0.00;1.65;1.20;0.00;2.99;0.12;0.18;0.00
C0068B;Alho-poró, cru, Allium ampeloprasum L. var. porrum,;Vegetais e derivados;29.00;4.37;1.41;0.14;2.51;0.02;0.00;1.76;0.00;0.43;6.88;0.62;0.29;;0.00;33.60;124.00;34.10;0.64;36.50;10.70;0.34;224.00;0.00;0.00;0.53;0.06;91.00;8.08;16.20;0.00;0.08;14.10;0.00;0.24;0.00;0.08;0.00
C0011B;Almeirão, cru, Cichorium intybus,;Vegetais e derivados;20.00;1.08;1.78;0.29;3.04;0.07;0.00;2.76;0.00;2.18;4.12;1.16;0.12;;0.00;30.40;84.00;110.00;0.87;46.60;16.70;0.74;433.00;0.21;0.00;1.30;0.13;92.60;288.00;577.00;0.00;0.00;1.98;0.00;0.34;0.01;0.13;0.00
C0400A;Amaranto, grão, cru, Amaranthus cruentus L.,;Cereais e derivados;365.00;58.50;13.60;7.02;6.70;1.46;;4.00;0.00;1.19;65.30;2.88;0.53;;0.00;159.00;1539.00;82.00;7.61;557.00;248.00;0.92;508.00;0.20;0.00;18.70;0.12;11.30;0.00;0.00;0.00;0.59;4.20;0.00;2.87;1.68;2.78;0.00
C0181C;Ameixa, seca, Prunus domestica,;Frutas e derivados;253.00;56.80;2.18;0.38;7.10;0.09;0.00;2.00;0.00;0.43;63.90;2.64;0.28;;0.00;43.00;1073.00;4.00;0.93;69.00;41.00;1.88;732.00;0.19;0.00;0.30;0.05;30.90;39.00;;0.00;0.21;0.60;0.00;0.44;0.05;0.06;0.00
C0170C;Amora preta, in natura, Rubus ssp.,;Frutas e derivados;36.00;6.25;1.39;0.49;0.49;0.01;0.00;0.75;0.00;1.17;6.74;0.28;0.12;;0.00;21.80;152.00;18.80;0.47;16.50;15.00;0.49;121.00;0.02;0.00;;0.02;91.10;11.00;;0.00;0.02;15.80;0.00;0.40;0.05;0.28;0.00
C0011U;Amêndoa, crua, s/ sal, Prunua amygdalus L.,;Sementes e Oleaginosas;632.00;9.04;21.10;49.90;12.50;3.80;;1.00;0.00;25.60;21.50;2.97;1.03;;0.00;269.00;2618.00;44.00;3.71;481.00;270.00;3.62;733.00;1.14;0.00;4.10;0.20;4.41;;;0.00;0.14;0.00;0.00;3.12;31.60;12.30;0.00
C1108B;Anis estrelado, semente, Illicium verum,;Vegetais e derivados;384.00;35.40;17.60;15.90;14.60;0.59;0.00;16.00;0.00;;50.00;6.95;0.91;0.00;;646.00;1606.00;10.00;37.00;440.00;170.00;3.06;1440.00;0.29;0.00;5.00;0.34;9.54;16.00;;0.00;0.65;21.00;0.00;5.30;9.78;3.15;0.00
C0228C;Araça, polpa, com casca, sem semente, in natura, Psidium cattleianum,;Frutas e derivados;47.00;8.00;1.00;0.20;4.50;;;;0.00;;12.50;0.80;;;0.00;;196.00;;;;;;;;0.00;;;85.50;3.00;;;;2.13;;;;;0.00
C0015A;Arroz,  farinha, Orysa sativa L.,Colombo,;Cereais e derivados;356.00;79.70;6.90;1.10;0.00;0.36;0.00;0.98;0.00;0.11;79.70;0.70;0.04;;0.00;6.76;1513.00;4.01;0.60;145.00;48.20;0.00;109.00;0.00;0.00;;0.21;11.60;0.00;0.00;0.00;0.05;0.00;0.00;1.78;0.27;0.36;0.00
C0792A;Arroz, creme, pó, cru, Orysa sativa L.,;Cereais e derivados;366.00;81.20;7.43;1.09;1.06;0.35;;1.02;;0.24;82.20;0.53;0.04;;0.00;6.98;1555.00;29.60;0.62;150.00;49.80;0.00;112.00;0.00;;19.40;0.21;8.71;0.00;0.00;0.00;0.05;0.00;0.00;1.84;0.27;0.35;0.00
C0013A;Arroz, farelo, cru, Orysa sativa L.,;Cereais e derivados;324.00;11.20;14.20;19.30;24.30;3.86;0.00;5.06;0.00;4.55;35.50;26.00;0.74;;0.00;57.70;1340.00;63.80;18.80;1697.00;790.00;34.40;1503.00;0.29;0.00;;2.79;4.98;0.00;0.00;0.00;4.12;0.00;0.00;6.11;6.99;6.90;0.00
C0014A;Arroz, farinha, crua (média  de diferentes marcas), Orysa sativa L.,;Cereais e derivados;360.00;81.80;6.24;0.76;0.78;0.30;0.00;9.07;0.00;0.06;82.60;0.81;0.02;;0.00;4.10;1531.00;4.10;16.00;94.50;27.40;0.00;63.60;0.00;0.00;;1.73;9.62;0.00;0.00;0.00;1.76;173.00;0.00;5.17;0.20;0.30;0.00
C0017A;Arroz, integral, cru (média diferentes cultivares), Oryza sativa L.,;Cereais e derivados;345.00;72.50;7.57;1.95;3.90;0.31;;0.88;0.00;0.65;76.40;1.22;0.13;;0.00;6.10;1464.00;19.90;0.83;122.00;44.70;4.15;169.00;0.00;0.00;2.70;0.26;12.90;0.00;0.00;0.00;0.17;0.00;0.00;1.75;0.52;0.42;0.00
C0001A;Arroz, polido, cru (média de diferentes cultivares), Oryza sativa L.,;Cereais e derivados;346.00;77.40;7.04;0.50;1.68;0.17;0.00;1.12;0.00;0.08;79.10;0.48;0.13;;0.00;4.80;1467.00;7.88;0.46;92.80;29.50;1.02;59.30;0.00;0.00;1.90;0.16;12.90;0.00;0.00;0.00;0.06;0.00;0.00;1.23;0.17;0.17;0.00
C1164B;Aspargo, em conserva, drenado,;Vegetais e derivados;21.00;0.84;2.14;0.65;1.60;0.15;0.00;287.00;;1.22;2.44;0.77;0.10;0.00;;16.00;88.00;96.00;1.83;43.00;10.00;0.95;172.00;0.10;;1.70;0.06;94.00;41.00;;0.00;0.11;18.40;0.00;0.40;0.02;0.28;0.00
C0461B;Aspargo, in natura, Asparagus officinalis,;Vegetais e derivados;21.00;1.78;2.20;0.12;2.10;0.04;0.00;2.00;0.00;1.13;3.88;0.58;0.19;;0.00;24.00;89.00;52.00;2.14;52.00;14.00;0.98;202.00;0.14;0.00;;0.14;93.20;38.00;;0.00;0.09;5.60;0.00;0.54;0.00;0.05;0.00
C0070C;Atemóia, in natura, Annona atemoya Mabb,;Frutas e derivados;104.00;23.20;0.97;0.30;2.14;0.10;0.00;0.79;0.00;;25.30;0.66;0.17;;0.00;22.80;439.00;;0.16;23.40;24.80;1.58;300.00;0.07;0.00;;0.09;72.70;;;0.00;0.07;10.10;0.00;0.19;0.00;0.10;0.00
C0021A;Aveia, crua (média de diferentes tipos), Avena sativa,;Cereais e derivados;382.00;55.60;15.40;8.70;9.74;1.54;;4.63;0.00;0.00;65.30;1.80;0.44;;0.00;47.90;1607.00;55.60;4.45;153.00;118.00;4.47;336.00;0.03;0.00;0.00;0.55;8.75;0.00;0.00;0.00;;1.35;0.00;2.63;3.16;3.02;0.00
C0022A;Aveia, farinha, crua, Avena sativa,Mac Bits,;Cereais e derivados;370.00;56.70;14.90;7.00;10.30;1.27;;4.59;0.00;;67.00;1.30;0.44;;0.00;47.50;1559.00;55.00;4.41;152.00;117.00;4.44;333.00;0.03;0.00;;0.55;9.80;0.00;0.00;0.00;0.00;1.34;0.00;2.61;2.60;2.49;0.00
C0023A;Aveia, fibras, Avena sativa,;Cereais e derivados;377.00;41.40;19.30;11.40;16.00;2.15;;3.87;0.00;;57.40;2.30;0.39;;0.00;56.10;1582.00;50.30;5.23;710.00;227.00;0.90;547.00;0.21;0.00;;1.13;9.60;0.00;0.00;0.00;0.16;0.00;0.00;3.01;3.85;4.49;0.00
C0024A;Aveia, flocos, finos, Avena sativa,Float,;Cereais e derivados;379.00;55.00;15.60;8.60;9.50;1.56;;4.59;0.00;;64.50;1.50;0.44;;0.00;47.50;1594.00;55.00;4.41;152.00;117.00;4.44;333.00;0.03;0.00;;0.55;9.80;0.00;0.00;0.00;0.00;1.34;0.00;2.61;3.19;3.05;0.00
C0026A;Aveia, flocos, finos, Avena sativa,Neston,;Cereais e derivados;387.00;56.90;15.30;8.40;11.30;1.52;;4.81;0.00;;68.30;2.50;0.46;;0.00;49.80;1630.00;57.70;4.62;159.00;123.00;4.65;349.00;0.03;0.00;;0.58;5.50;0.00;0.00;0.00;0.00;1.40;0.00;2.74;3.12;2.98;0.00
C0025A;Aveia, flocos, finos, instantânea, Avena sativa,Float,;Cereais e derivados;382.00;54.40;15.70;9.20;9.38;1.67;;4.59;0.00;;63.80;1.50;0.44;;0.00;47.50;1607.00;55.00;4.41;152.00;117.00;4.44;333.00;0.03;0.00;;0.55;9.80;0.00;0.00;0.00;0.00;1.34;0.00;2.61;3.42;3.27;0.00
C0013U;Avelã , crua, s/ sal, Corylus avellana,;Sementes e Oleaginosas;673.00;8.20;15.00;62.40;9.40;4.51;;0.00;0.00;15.30;17.60;2.45;1.75;;0.00;123.00;2779.00;88.00;4.38;310.00;173.00;2.05;755.00;0.12;0.00;4.10;0.34;2.52;;;0.00;0.62;3.80;0.00;2.50;46.60;8.46;0.00
C0213C;Avocado, polpa, in natura, Persea americana,;Frutas e derivados;161.00;1.83;2.00;14.70;6.70;2.13;0.00;7.00;0.00;2.07;8.53;1.58;0.19;;0.00;12.00;661.00;81.00;0.55;52.00;29.00;1.74;485.00;0.13;0.00;0.40;0.07;73.20;7.00;;0.00;0.26;10.00;0.00;0.64;9.80;1.82;0.00
C0001D;Azeite, dendê, Elaeis guineensis Jacq.,;Gorduras e óleos;900.00;0.00;0.00;100.00;0.00;43.10;0.14;0.00;0.00;15.90;0.00;0.00;0.00;;0.00;0.00;3700.00;0.00;0.01;0.00;0.00;5.86;0.00;0.00;0.00;0.00;0.10;0.00;5067.00;10134.00;0.00;0.00;0.00;;0.00;40.10;16.60;0.00
C0002D;Azeite, oliva, Olea europaea L.,;Gorduras e óleos;900.00;0.00;0.00;100.00;0.00;14.90;;0.00;0.00;18.40;0.00;0.00;0.00;;0.00;0.00;3700.00;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;75.50;9.50;0.00
C0120B;Azeitona, preta, conserva, drenada, Olea europaea L.,;Vegetais e derivados;201.00;0.99;1.16;20.30;4.55;3.50;;1566.00;0.00;3.14;5.54;4.48;0.25;;;58.80;826.00;0.00;5.45;16.00;4.76;0.00;78.60;0.00;;;0.00;68.50;;;0.00;0.04;0.00;0.00;0.29;11.00;3.00;
C0121B;Azeitona, verde, conserva, drenada, Olea europaea L.,;Vegetais e derivados;140.00;0.26;0.95;14.20;3.85;2.30;;1347.00;0.00;3.54;4.10;4.48;0.14;;;45.60;577.00;2.88;0.18;5.36;3.94;0.00;19.80;0.00;;;0.00;76.30;;;0.00;0.00;0.00;0.00;0.08;8.30;1.00;
C0800B;Açafrão, pistilo, in natura, Crocus sativus,;Vegetais e derivados;352.00;61.50;11.40;5.85;3.90;1.59;0.00;148.00;0.00;0.00;65.40;5.45;0.33;;0.00;111.00;1487.00;93.00;11.10;252.00;264.00;1.46;1724.00;0.27;0.00;5.60;0.12;11.90;27.00;;0.00;1.01;80.80;0.00;1.09;0.43;2.07;0.00
C0003C;Açaí, polpa (média de amostras), Euterpe oleracea Mart.,;Frutas e derivados;68.00;1.77;0.90;5.01;5.89;1.01;;1.69;0.00;14.80;7.66;0.31;0.20;;0.00;20.80;278.00;;0.59;20.20;20.90;0.00;110.00;0.04;0.00;0.70;0.00;86.10;14.30;28.60;0.00;0.08;42.00;;0.23;3.43;0.32;0.00
C0095C;Açaí, polpa, com xarope de guaraná e glucose,;Frutas e derivados;118.00;19.70;0.72;3.66;1.72;0.70;;15.10;;10.80;21.50;0.28;0.14;;0.00;22.20;497.00;;0.27;10.80;12.70;0.00;75.50;0.00;0.00;0.51;0.00;73.90;10.40;20.90;0.00;0.07;10.30;;0.19;1.90;0.30;0.00
C0185C;Açaí, solteiro, polpa,;Frutas e derivados;57.00;0.71;0.78;4.58;4.91;0.72;;2.97;;13.50;5.62;0.31;0.16;;0.00;27.80;234.00;;0.74;16.40;17.00;0.00;128.00;0.04;;0.57;0.00;88.70;13.10;26.10;0.00;0.07;38.40;;0.29;2.21;0.34;0.00
C0704N;Açúcar, light (20% sacarose + edulcorante),;Açúcares e doces;80.00;19.90;0.03;0.00;0.00;0.00;0.00;2.44;0.00;0.00;19.90;0.10;0.00;0.00;;9.20;338.00;0.00;0.43;2.54;5.44;0.00;55.20;0.00;20.00;0.12;0.00;0.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
C0703N;Açúcar, light (50% sacarose ou maltodextrina + edulcorante),;Açúcares e doces;198.00;49.40;0.08;0.00;0.00;0.00;0.00;6.20;0.00;0.00;49.40;0.25;0.00;0.00;;23.00;842.00;0.00;1.08;6.30;13.60;0.00;88.00;0.00;50.00;0.30;0.00;0.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
C0017U;Babaçu, mesocarpo, farinha, crua, Attalea speciosa,;Sementes e Oleaginosas;288.00;61.30;1.41;0.20;17.90;;;12.50;0.00;;79.20;3.40;0.22;;0.00;61.00;1216.00;;18.30;25.60;39.30;2.58;362.00;0.00;0.00;;0.00;15.80;;;0.00;0.00;0.00;;0.34;;;0.00
C0293C;Bacuri do Pará, in natura, Platonia insignis,;Frutas e derivados;82.00;12.90;1.22;1.80;4.51;0.50;0.00;78.00;0.00;;17.40;0.47;0.43;0.00;;12.30;342.00;14.10;0.52;;13.40;0.00;114.00;0.08;0.00;;0.15;79.10;;;;0.07;23.20;;0.12;0.36;0.30;0.00
C0232C;Bacuri, polpa, in natura, Platonia insignis,;Frutas e derivados;81.00;13.10;1.22;1.46;5.20;;0.00;29.00;0.00;0.00;18.30;0.48;0.40;;0.00;12.00;340.00;;0.63;30.00;23.00;0.17;146.00;0.00;0.00;;0.00;78.50;0.00;0.00;;0.07;5.49;;0.59;;;0.00
C0265C;Banana madura, rodelas, desidratada, Musa sp.,;Frutas e derivados;366.00;82.00;4.25;0.63;7.50;0.20;0.00;0.00;0.00;0.19;89.50;2.60;0.27;;0.00;14.40;1478.00;77.10;1.08;77.10;103.00;0.00;1161.00;0.00;0.00;0.45;0.00;3.00;40.20;;0.00;0.42;37.70;0.00;0.57;0.00;0.00;0.00
C0008C;Banana, da terra, in natura, Musa acuminata Colla x Musa balbisiana Colla,;Frutas e derivados;140.00;32.10;1.43;0.24;1.53;0.08;0.00;0.00;0.00;0.07;33.70;0.78;0.05;;0.00;3.28;592.00;23.00;0.29;25.50;29.60;0.00;328.00;0.02;0.00;0.30;0.03;63.90;119.00;239.00;0.00;0.14;15.70;0.00;0.16;0.00;0.00;0.00
C0094C;Banana, doce, em barra,;Frutas e derivados;304.00;71.80;2.17;0.05;3.83;;0.00;9.88;;;75.70;0.99;0.16;;0.00;12.00;1291.00;;0.61;36.90;49.20;1.41;518.00;0.00;0.00;;0.03;21.10;;;0.00;0.06;0.00;0.00;0.30;0.00;0.00;0.00
C0093C;Banana, Figo, in natura, Musa acuminata Colla x Musa balbisiana Colla, Grupo ABB,;Frutas e derivados;111.00;25.00;1.13;0.14;2.80;0.05;0.00;0.00;0.00;0.04;27.80;0.85;0.06;;0.00;6.36;472.00;23.80;0.20;15.80;30.20;0.00;386.00;0.00;0.00;0.13;0.09;70.10;9.69;19.40;0.00;0.03;17.50;0.00;0.12;0.00;0.00;0.00
